"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Platanus x acerifolia","Pampa","RS","Abaixo (raízes)","Seco","-","-","0,81","11,5%","10^(1,841753-9,680439*(d^-1))","Hoppe et al. (2006)"
"Platanus x acerifolia","Pampa","RS","Total (abaixo+acima)","Seco","-","-","0,95","7,0%","10^(-1,161443+0,913291*log10((d^2)*ht))","Hoppe et al. (2006)"
"Syzygium cumini (L.) Skeels","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,87","-","-185,219+19,884*d","Robortella (2010)"
"Syzygium cumini (L.) Skeels","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,87","-","-16,366+0,061*((d^2)*ht)","Robortella (2010)"
"Syzygium cumini (L.) Skeels","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,87","-","-183,248+19,934*d-0,312*ht","Robortella (2010)"
"Syzygium cumini (L.) Skeels","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,89","-","0,098*(d^2,569)","Robortella (2010)"
"Syzygium cumini (L.) Skeels","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,87","-","0,017*(((d^2)*ht)^1,144)","Robortella (2010)"
"Syzygium cumini (L.) Skeels","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,92","-","exp(-2,450+2,607*log(d))","Robortella (2010)"
"Syzygium cumini (L.) Skeels","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,90","-","exp(-4,396+01,851*log(d*ht))","Robortella (2010)"
"Syzygium cumini (L.) Skeels","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","23,0","0,92","-","exp(-2,298+2,575*log(d)+0,105*log(hf/ht))","Robortella (2010)"
