"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","20,0","0,95","-","-120,35+13,001*d+1,871*ht","Robortella (2010)"
"Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","20,0","0,98","-","0,089*(d^2,538)","Robortella (2010)"
"Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","20,0","0,95","-","0,121*(((d^2)*ht)^0,858)","Robortella (2010)"
"Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","20,0","0,97","-","exp(-2,032+2,397*log(d))","Robortella (2010)"
"Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","20,0","0,91","-","exp(-2,409+1,384*log(d*ht))","Robortella (2010)"
"Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore","Amazônia","MT","Total (abaixo+acima)","Seco","10,0","20,0","0,97","-","exp(-2,265+2,465*log(d)-0,099*log(hf/ht))","Robortella (2010)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"¹ idade: 56 meses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"² espaçamento de plantio: 3m x 3m. Idade: 8,3 anos ³ espaçamento de plantio: 4m x 4m. Idade: 8,3 anos 4 espaçamento de plantio: 5m x 5m. Idade: 8,3 anos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
