"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Cnidoscolus quercifolius Pohl","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,72","17,5%","exp(-0,6664+0,5237*log((d^2)*ht))","Dalla Lana et al. (2018)"
"Cnidoscolus quercifolius Pohl","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,82","25,5%","0,6064*(d^1,4216)","Dalla Lana et al. (2018)"
"Cnidoscolus quercifolius Pohl","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,82","25,5%","0,6064*(d^2)^0,7108","Dalla Lana et al. (2018)"
"Cnidoscolus quercifolius Pohl","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,82","25,8%","0,4896*((d^2)*ht)^0,5387","Dalla Lana et al. (2018)"
"Coccoloba guaranitica Hassler","Pantanal","MS","Acima 
(tronco+galhos+folhas)","Seco","5,0","24,0","0,99","-","6,717*exp(d*0,139)","Padilha (2011)"
"Cordia oncocalyx Allemão","Caatinga","CE","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,98","-","8,730+0,0414*((d^2)*ht)","Schacht et al. (1988)"
"Croton heliotropiifolius Kunth","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,76","19,0%","0,1868*(d^1,2764)*(ht^0,9401)","Dalla Lana et al. (2018)"
"Croton heliotropiifolius Kunth","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,71","31,8%","exp(-1,6887+1,2224*log(d)+0,9761*log(ht))","Dalla Lana et al. (2018)"
"Croton heliotropiifolius Kunth","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,76","19,2%","0,6522+0,0582*((d^2)*ht)","Dalla Lana et al. (2018)"
"Croton heliotropiifolius Kunth","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,70","32,2%","exp(-1,5518+0,7158*log((d^2)*ht))","Dalla Lana et al. (2018)"
"Croton heliotropiifolius Kunth","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,76","19,1%","0,2219*((d^2)*ht)^0,7065","Dalla Lana et al. (2018)"
"Croton hemiargyreus Müll.Arg.","Caatinga","CE","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,97","-","0,886+0,0484*((d^2)*ht)","Schacht et al. (1988)"
"Croton jacobinensis Baill.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","2,0","50,0","0,84","-","0,3569*(d^1,8565)","Sampaio e Silva (2005)"
"Croton jacobinensis Baill.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","2,0","13,0","0,62","-","0,4171*(d^1,5601)","Sampaio et al. (2010)"
"Croton jacobinensis Baill.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","2,0","13,0","0,67","-","0,0867*(d*(ht^1,2852))","Sampaio et al. (2010)"
"Dalbergia cearensis Ducke","Caatinga","CE","Acima 
(tronco+galhos+folhas)","Seco","5,0","20,1","0,67","-","exp(-3,710+1,878*log(d*ht))","Nogueira et al. (2021)"
"Dalbergia cearensis Ducke","Caatinga","CE","Acima 
(tronco+galhos+folhas)","Seco","5,0","20,1","0,66","-","exp(-4,135+1,713*log(d)+2,325*log(ht))","Nogueira et al. (2021)"
"Dalbergia cearensis Ducke","Caatinga","CE","Acima 
(tronco+galhos+folhas)","Seco","5,0","20,1","0,64","-","exp(-2,763+1,055*log(d^2*ht))","Nogueira et al. (2021)"
